 TITLE     = "Surface grid for WingStructure."
 VARIABLES = X,Y,Z
 ZONE    T = "Grid",I =            201,J =         29
      5.45873     0.00550     0.00000
      5.44462     0.00673     0.00000
      5.42968     0.00802     0.00000
      5.41376     0.00939     0.00000
      5.39692     0.01084     0.00000
      5.37898     0.01230     0.00000
      5.36001     0.01390     0.00000
      5.33989     0.01553     0.00000
      5.31863     0.01723     0.00000
      5.29606     0.01896     0.00000
      5.27217     0.02071     0.00000
      5.24693     0.02250     0.00000
      5.22020     0.02431     0.00000
      5.19195     0.02605     0.00000
      5.16217     0.02782     0.00000
      5.13070     0.02947     0.00000
      5.09752     0.03098     0.00000
      5.06260     0.03231     0.00000
      5.02576     0.03352     0.00000
      4.98701     0.03439     0.00000
      4.94628     0.03502     0.00000
      4.90352     0.03521     0.00000
      4.85863     0.03495     0.00000
      4.81154     0.03413     0.00000
      4.76225     0.03265     0.00000
      4.71064     0.03040     0.00000
      4.65673     0.02738     0.00000
      4.60045     0.02332     0.00000
      4.54181     0.01826     0.00000
      4.48073     0.01206     0.00000
      4.41722     0.00460     0.00000
      4.35129    -0.00412     0.00000
      4.28292    -0.01421     0.00000
      4.21213    -0.02551     0.00000
      4.13896    -0.03807     0.00000
      4.06347    -0.05183     0.00000
      3.98567    -0.06653     0.00000
      3.90572    -0.08200     0.00000
      3.82363    -0.09803     0.00000
      3.73952    -0.11440     0.00000
      3.65354    -0.13079     0.00000
      3.56578    -0.14681     0.00000
      3.47638    -0.16230     0.00000
      3.38547    -0.17694     0.00000
      3.29333    -0.19047     0.00000
      3.20002    -0.20266     0.00000
      3.10575    -0.21346     0.00000
      3.01070    -0.22267     0.00000
      2.91513    -0.23033     0.00000
      2.81916    -0.23635     0.00000
      2.72301    -0.24089     0.00000
      2.63715    -0.24373     0.00000
      2.55143    -0.24548     0.00000
      2.46595    -0.24626     0.00000
      2.38065    -0.24617     0.00000
      2.29575    -0.24521     0.00000
      2.21130    -0.24349     0.00000
      2.12736    -0.24113     0.00000
      2.04403    -0.23813     0.00000
      1.96131    -0.23465     0.00000
      1.87942    -0.23064     0.00000
      1.79837    -0.22616     0.00000
      1.71824    -0.22131     0.00000
      1.63911    -0.21611     0.00000
      1.56102    -0.21059     0.00000
      1.48409    -0.20478     0.00000
      1.40842    -0.19871     0.00000
      1.33406    -0.19241     0.00000
      1.26107    -0.18591     0.00000
      1.18950    -0.17922     0.00000
      1.11947    -0.17235     0.00000
      1.05103    -0.16534     0.00000
      0.98422    -0.15826     0.00000
      0.91911    -0.15100     0.00000
      0.85587    -0.14362     0.00000
      0.79442    -0.13616     0.00000
      0.73489    -0.12858     0.00000
      0.67727    -0.12092     0.00000
      0.62173    -0.11321     0.00000
